Libellé STELLA	Code ODM	Catégorie
Épreuve d'accélération	AUTOACCELERATION	Automobile
Course / rallye aérien	ACTIVITESAERIENNES	Activités aériennes de loisir
Aéroglisseur	AUTOAEROGLISSEUR	Automobile
Montgolfière	AEROSTATION	Activités aériennes de loisir
Ballon à gaz	AEROSTATION	Activités aériennes de loisir
Dirigeable	AEROSTATION	Activités aériennes de loisir
Agility	AGILITY	Sports canins
Aïkido	AIKIDO	Arts martiaux
Aïkibudo	AIKIDO	Arts martiaux
Aile volante	AILEVOLANTE	Sports extrêmes
Alpinisme	ALPINISME	Montagne
Varappe	ALPINISME	Montagne
Escalade	ALPINISME	Montagne
Attelage	ATTELAGE	Équitation
Autocross	AUTOCROSS	Automobile
Activités aériennes de loisir sur autogires et gyroplanes	AUTOGIRE	Activités aériennes de loisir
Autograss	AUTOGRASS	Automobile
Autotests	AUTOTESTS	Automobile
Aviation	AVIATION	Activités aériennes de loisir
Aviron	AVIRON	Sports aquatiques
Badminton	BADMINTON	Sports de raquette et canne
Balade	RANDONNEE	Randonnée
Randonnée	RANDONNEE	Randonnée
Ball trap	BALLTRAP	Sports de lancer, de tir et de cible
Tir aux pigeons	BALLTRAP	Sports de lancer, de tir et de cible
Banger racing	AUTOBANGER	Automobile
Baptême / initiations Aile volante	BAPTAILEVOLANTE	Sports extrêmes
Baptême / initiations Base jump	BAPTBASEJUMP	Sports extrêmes
Baptême / initiations Parachutisme	BAPTPARACHUTISME	Baptême / initiations
Baptême / initiations saut à l'élastique	BAPTSAUTELASTIQUE	Baptême / initiations
Baptême / initiations Skysurf	BAPTSKYSURF	Sports extrêmes
Baptême / initiations Speed flying	BAPTSPEEDFLYING	Sports extrêmes
Baptême / initiations Speed riding	BAPTSPEEDRIDING	Sports extrêmes
Baptême / initiations Wingsuit	BAPTWINGSUIT	Sports extrêmes
Baptême / initiations encadrés par un personnel qualifié (hors AILE VOLANTE / BASE JUMP / SKYSURF / SPEED FLYING / SPEED RIDING / WINGSUIT)	BAPTAUTRE	Baptême / initiations
Base ball	BASEBALL	Sports collectifs, de raquette et canne
Base jump	BASEJUMP	Sports extrêmes
Basket ball	BASKETBALL	Sports collectifs, de balle
Beach soccer	BEACHSOCCER	Sports collectifs, de balle
Football de plage	BEACHSOCCER	Sports collectifs, de balle
Beach volley	BEACHVOLLEY	Sports collectifs, de balle
Volley de plage	BEACHVOLLEY	Sports collectifs, de balle
Behourd	BEHOURD	Sports de combat
Biathlon	BIATHLON	Sports de neige
Billard	BILLARD	Loisirs
Snooker	BILLARD	Loisirs
BMX	BMX	Cyclisme
Bicross	BMX	Cyclisme
Bobsleigh	BOBSLEIGH	Sports de neige
Body building	BODYBUILDING	Développement musculaire
Boomerang	BOOMERANG	Sports de lancer, de tir et de cible
Bowling	BOWLING	Loisirs
Quilles	BOWLING	Loisirs
Boxe américaine	BOXEAMERICAINE	Sports de combat
Boxe anglaise	BOXEANGLAISE	Sports de combat
Boxe française	BOXEFRANCAISE	Sports de combat
Boxe thaïlandaise	BOXETHAI	Sports de combat
Budo	BUDO	Arts martiaux
Canoë kayak (descentes de rivières / eaux vives / rafting)	KAYAKRAFT	Sports aquatiques
Canoë kayak (hors descentes de rivières / eaux vives / rafting et hors expédition)	KAYAK	Sports aquatiques
Canyonisme	CANYONISME	Sports aquatiques
Capoeira	CAPOEIRA	Arts martiaux
Kapoera	CAPOEIRA	Arts martiaux
Catch	CATCH	Sports de combat
Char à glace	CHARGLACE	Glisse sur glace, voile
Char à voile	CHARVOILE	Voile
